,doc_id,org_name1,org_name2,freq
0,202203100,MA 34,Stadtrechnungshofes Wien,1
1,202203100,Stadtrechnungshofausschusses,Stadtrechnungshofes Wien,1
2,202203100,MA 11,Stadtrechnungshofes Wien,4
3,202203100,MA 11,Stadtrechnungshofausschusses,1
4,202203100,MA 11,MA 34,3
5,202203101,MA 34,Stadtrechnungshofes Wien,7
6,202203101,MA 10,MA 13,1
7,202203101,MA 10,MA 42,1
8,202203101,MA 10,MA 68,1
9,202203101,MA 34,Verein Wiener Jugendzentren,1
10,202203101,MA 28,MA 68,1
11,202203101,MA 28,MA 42,1
12,202203101,MA 34,MA 56,1
13,202203101,MA 42,Verein Wiener Jugendzentren,1
14,202203101,MA 68,Verein Wiener Jugendzentren,1
15,202203101,MA 42,MA 56,1
16,202203101,MA 11,Verein Wiener Jugendzentren,1
17,202203101,MA 11,MA 28,1
18,202203101,Stadtrechnungshofes Wien,stadt wien,1
19,202203101,MA 34,stadt wien,3
20,202203101,Fonds Soziales Wien,MA 10,1
21,202203101,MA 11,MA 56,1
22,202203101,MA 56,Verein Wiener Jugendzentren,1
23,202203101,Fonds Soziales Wien,Verein Wiener Jugendzentren,1
24,202203101,MA 11,MA 34,1
25,202203101,Fonds Soziales Wien,MA 28,1
26,202203101,Die Wiener Volkshochschulen GmbH,MA 10,1
27,202203101,MA 13,Verein Wiener Jugendzentren,1
28,202203101,MA 34,MA 68,1
29,202203101,Fonds Soziales Wien,MA 56,1
30,202203101,MA 13,MA 28,1
31,202203101,MA 34,MA 42,1
32,202203101,Fonds Soziales Wien,MA 11,1
33,202203101,Die Wiener Volkshochschulen GmbH,Verein Wiener Jugendzentren,1
34,202203101,MA 10,Verein Wiener Jugendzentren,1
35,202203101,Die Wiener Volkshochschulen GmbH,MA 28,1
36,202203101,MA 42,MA 68,1
37,202203101,MA 13,MA 56,1
38,202203101,Fonds Soziales Wien,MA 34,1
39,202203101,Die Wiener Volkshochschulen GmbH,MA 56,1
40,202203101,MA 10,MA 28,1
41,202203101,MA 10,MA 56,1
42,202203101,Die Wiener Volkshochschulen GmbH,MA 11,1
43,202203101,MA 13,MA 34,1
44,202203101,MA 11,MA 13,1
45,202203101,MA 28,Verein Wiener Jugendzentren,1
46,202203101,Die Wiener Volkshochschulen GmbH,MA 34,1
47,202203101,MA 10,MA 11,1
48,202203101,MA 11,MA 68,1
49,202203101,MA 11,MA 42,1
50,202203101,MA 28,MA 56,1
51,202203101,MA 10,MA 34,1
52,202203101,Die Wiener Volkshochschulen GmbH,Fonds Soziales Wien,2
53,202203101,Fonds Soziales Wien,MA 13,1
54,202203101,MA 28,MA 34,1
55,202203101,MA 56,MA 68,1
56,202203101,Fonds Soziales Wien,MA 68,1
57,202203101,Fonds Soziales Wien,MA 42,1
58,202203101,MA 13,MA 42,1
59,202203101,MA 13,MA 68,1
60,202203101,Die Wiener Volkshochschulen GmbH,MA 13,1
61,202203101,Die Wiener Volkshochschulen GmbH,MA 42,1
62,202203101,Die Wiener Volkshochschulen GmbH,MA 68,1
63,202203102,Stadtrechnungshofausschusses,Stadtrechnungshofes Wien,1
64,202203102,MA 49,Stadtrechnungshofes Wien,23
65,202203103,Landeshauptstadt Graz,Stadtrechnungshofes Wien,1
66,202203103,MA 13,MA 17,1
67,202203103,Stadtrechnungshofausschusses,Stadtrechnungshofes Wien,12
68,202203103,MA 25,Unternehmungen Stadt Wien  Wiener Wohnen,1
69,202203103,Fonds Soziales Wien,MA 36,1
70,202203103,MA 48,MA 5,1
71,202203103,MA 17,MA 46,1
72,202203103,Krankenfürsorgeanstalt der Bediensteten,Stadtrechnungshofes Wien,1
73,202203103,MA 2,MA 6,1
74,202203103,MA 13,MA 36,1
75,202203103,MA 2,Stadtrechnungshofausschusses,1
76,202203103,Krankenfürsorgeanstalt,Krankenfürsorgeanstalt der Bediensteten,1
77,202203103,MA 13,Stadtrechnungshofausschusses,1
78,202203103,Fonds Soziales Wien,Stadtrechnungshofausschusses,1
79,202203103,MA 2,MA 48,1
80,202203103,MA 48,Stadtrechnungshofes Wien,1
81,202203103,Krankenfürsorgeanstalt,stadt wien,1
82,202203103,MA 2,MA 5,1
83,202203103,Bundeshauptstadt Wien,MA 6,1
84,202203103,MA 25,MA 50,1
85,202203103,Stadtrechnungshofes Wien,stadt wien,7
86,202203103,Bundeshauptstadt Wien,Stadtrechnungshofausschusses,1
87,202203103,Stadtrechnungshofes Wien,WU,1
88,202203103,Bundeshauptstadt Wien,MA 48,1
89,202203103,MA 5,MA 6,1
90,202203103,MA 2,Stadtrechnungshofes Wien,1
91,202203103,MA 17,MA 36,1
92,202203103,MA 5,Stadtrechnungshofausschusses,1
93,202203103,Bundeshauptstadt Wien,MA 5,1
94,202203103,MA 6,Stadtrechnungshofausschusses,1
95,202203103,MA 17,Stadtrechnungshofausschusses,1
96,202203103,Krankenfürsorgeanstalt der Bediensteten,stadt wien,1
97,202203103,MA 46,Stadtrechnungshofausschusses,2
98,202203103,Bundeshauptstadt Wien,Stadtrechnungshofes Wien,2
99,202203103,MA 5,Stadtrechnungshofes Wien,1
100,202203103,MA 50,Unternehmungen Stadt Wien  Wiener Wohnen,1
101,202203103,Bundeshauptstadt Wien,MA 2,1
102,202203103,MA 6,Stadtrechnungshofes Wien,1
103,202203103,MA 36,MA 46,2
104,202203103,Fonds Soziales Wien,MA 46,1
105,202203103,MA 36,Stadtrechnungshofausschusses,2
106,202203103,Bundeshauptstadt Wien,stadt wien,1
107,202203103,MA 13,MA 46,1
108,202203103,Wien Akademie,stadt wien,1
109,202203103,Krankenfürsorgeanstalt,Stadtrechnungshofes Wien,1
110,202203103,MA 48,MA 6,1
111,202203103,MA 48,Stadtrechnungshofausschusses,1
112,202203104,MA 34,MA 68,1
113,202203104,Stadtrechnungshofausschusses,Stadtrechnungshofes Wien,1
114,202203104,MA 19,MA 34,1
115,202203104,MA 19,MA 68,1
116,202203105,MA 34,Stadtrechnungshofes Wien,3
117,202203105,Stadtrechnungshofausschusses,Stadtrechnungshofes Wien,1
118,202203105,Stadtrechnungshofes Wien,stadt wien,1
119,2022010,Unternehmung Wiener Gesundheitsverbund,stadt wien,1
120,2022010,Bundesministerium für Soziales,Katholischen Familienverbandes Wien,1
121,2022010,Bundesministerium für Soziales,Pflege und Konsumentenschutz,1
122,2022010,MA 11,MA 7,1
123,2022010,MA 11,MA 49,1
124,2022010,Stadtrechnungshofes Wien,stadt wien,4
125,2022010,MA 10,MA 5,1
126,2022010,MA 10,Unternehmung Wiener Gesundheitsverbund,1
127,2022010,MA 13,MA 7,1
128,2022010,Katholischen Familienverbandes Wien,Katholischen Familienverbandes der Erzdiözese Wien,1
129,2022010,Katholischen Familienverbandes Wien,samt Vermögensaufstellungen und Belegen,1
130,2022010,MA 13,MA 49,1
131,2022010,MA 22,MA 49,1
132,2022010,MA 27,MA 5,1
133,2022010,Katholischen Familienverbandes Wien,Pflege und Konsumentenschutz,1
134,2022010,MA 10,Stadtrechnungshofes Wien,11
135,2022010,MA 11,stadt wien,1
136,2022010,Bundesministerium für Soziales,Gesundheit,1
137,2022010,MA 10,MA 57,1
138,2022010,MA 27,Stadtrechnungshofes Wien,1
139,2022010,MA 27,MA 57,1
140,2022010,Katholischen Familienverbandes Wien,MA 34,1
141,2022010,MA 11,MA 13,1
142,2022010,MA 49,MA 7,1
143,2022010,MA 13,stadt wien,1
144,2022010,MA 17,MA 49,1
145,2022010,MA 10,MA 11,1
146,2022010,MA 17,MA 22,1
147,2022010,KFVW,Katholischen Familienverbandes der Erzdiözese Wien,4
148,2022010,MA 10,MA 34,1
149,2022010,MA 5,MA 51,1
150,2022010,MA 11,MA 17,1
151,2022010,MA 27,MA 34,1
152,2022010,MA 51,MA 7,1
153,2022010,MA 13,MA 17,1
154,2022010,MA 34,MA 49,1
155,2022010,MA 51,stadt wien,1
156,2022010,MA 11,MA 22,1
157,2022010,Katholischen Familienverbandes Wien,MA 5,1
158,2022010,Katholischen Familienverbandes Wien,Unternehmung Wiener Gesundheitsverbund,1
159,2022010,MA 34,stadt wien,1
160,2022010,MA 11,MA 51,1
161,2022010,Katholischen Familienverbandes Wien,Stadtrechnungshofes Wien,11
162,2022010,MA 7,Stadtrechnungshofes Wien,1
163,2022010,Katholischen Familienverbandes Wien,MA 57,1
164,2022010,MA 5,Unternehmung Wiener Gesundheitsverbund,1
165,2022010,MA 13,MA 22,1
166,2022010,MA 11,MA 27,1
167,2022010,MA 27,Unternehmung Wiener Gesundheitsverbund,1
168,2022010,MA 13,MA 51,1
169,2022010,MA 22,MA 51,1
170,2022010,MA 5,Stadtrechnungshofes Wien,1
171,2022010,MA 57,MA 7,1
172,2022010,MA 22,MA 34,1
173,2022010,Katholischen Familienverbandes Wien,MA 11,1
174,2022010,MA 5,MA 57,1
175,2022010,KFVW,Stadtrechnungshofes Wien,3
176,2022010,MA 13,MA 27,1
177,2022010,MA 22,MA 27,1
178,2022010,MA 17,MA 51,1
179,2022010,MA 57,stadt wien,1
180,2022010,MA 17,MA 34,1
181,2022010,Katholischen Familienverbandes der Erzdiözese Wien,MA 10,2
182,2022010,Bundesministerium Finanzen,Katholischen Familienverbandes Wien,1
183,2022010,MA 17,MA 27,1
184,2022010,MA 49,stadt wien,1
185,2022010,MA 11,MA 5,1
186,2022010,MA 11,Stadtrechnungshofes Wien,1
187,2022010,MA 34,MA 51,1
188,2022010,MA 11,MA 57,1
189,2022010,MA 13,MA 5,1
190,2022010,MA 22,MA 5,1
191,2022010,MA 22,Unternehmung Wiener Gesundheitsverbund,1
192,2022010,MA 7,Unternehmung Wiener Gesundheitsverbund,1
193,2022010,MA 13,Stadtrechnungshofes Wien,1
194,2022010,Katholischen Familienverbandes Wien,MA 7,1
