,doc_id,org_name,freq
0,202203100,Stadtrechnungshofes Wien,10
1,202203100,MA 34,4
2,202203100,MA 11,15
3,202203100,Stadtrechnungshofausschusses,1
4,202203101,Stadtrechnungshofes Wien,12
5,202203101,stadt wien,5
6,202203101,MA 10,1
7,202203101,MA 34,37
8,202203101,MA 13,1
9,202203101,MA 42,1
10,202203101,MA 11,1
11,202203101,Fonds Soziales Wien,2
12,202203101,MA 56,1
13,202203101,MA 28,1
14,202203101,Die Wiener Volkshochschulen GmbH,2
15,202203101,MA 68,1
16,202203102,Stadtrechnungshofes Wien,64
17,202203102,MA 49,46
18,202203102,Stadtrechnungshofausschusses,1
19,202203103,Stadtrechnungshofes Wien,111
20,202203103,stadt wien,17
21,202203103,MA 5,1
22,202203103,MA 13,1
23,202203103,MA 6,1
24,202203103,MA 48,1
25,202203103,Fonds Soziales Wien,1
26,202203103,Stadtrechnungshofausschusses,22
27,202203103,MA 17,1
28,202203103,MA 2,1
29,202203103,MA 46,3
30,202203103,MA 50,1
31,202203103,MA 36,2
32,202203103,Bundeshauptstadt Wien,2
33,202203103,Wiener Gesundheitsverbundes,1
34,202203103,Unternehmungen Stadt Wien  Wiener Wohnen,1
35,202203103,MA 25,1
36,202203103,Österreichischen Städtebundes,1
37,202203103,Krankenfürsorgeanstalt,1
38,202203103,Krankenfürsorgeanstalt der Bediensteten,1
39,202203104,Stadtrechnungshofes Wien,5
40,202203104,MA 34,4
41,202203104,Stadtrechnungshofausschusses,1
42,202203104,MA 19,2
43,202203104,MA 68,3
44,202203105,Stadtrechnungshofes Wien,13
45,202203105,stadt wien,3
46,202203105,MA 34,7
47,202203105,Stadtrechnungshofausschusses,1
48,2022010,Stadtrechnungshofes Wien,30
49,2022010,stadt wien,13
50,2022010,MA 10,53
51,2022010,MA 34,1
52,2022010,MA 5,1
53,2022010,MA 13,1
54,2022010,MA 49,1
55,2022010,MA 11,1
56,2022010,Katholischen Familienverbandes Wien,115
57,2022010,MA 22,1
58,2022010,MA 57,1
59,2022010,MA 7,1
60,2022010,MA 51,1
61,2022010,Unternehmung Wiener Gesundheitsverbund,1
62,2022010,MA 17,1
63,2022010,MA 27,1
64,2022010,Katholischen Familienverbandes der Erzdiözese Wien,7
65,2022010,KFVW,5
66,2022010,Pflege und Konsumentenschutz,1
67,2022010,Bundesministerium für Soziales,1
68,2022010,Gesundheit,1
69,2022011,Stadtrechnungshofes Wien,36
70,2022011,stadt wien,14
71,2022011,MA 10,101
72,2022011,MA 56,1
73,2022011,MA1,2
74,2022011,MA 23,3
75,2022011,MA 18,2
76,2022012,Stadtrechnungshofes Wien,135
77,2022012,stadt wien,25
78,2022012,Community TV GmbH,225
79,2022012,MA 5,5
80,2022012,MA 13,167
81,2022012,OktoLab GmbH,117
82,2022012,Bundeshauptstadt Wien,2
83,2022012,MA 53,1
84,2022012,Wirtschaftstreuhand und Steuerberatungs GmbH,13
85,2022012,OktoLab,5
86,2022012,FPÖKlubs,1
87,2022013,Stadtrechnungshofes Wien,35
88,2022013,stadt wien,1
89,2022013,MA 10,1
90,2022013,MA 34,1
91,2022013,MA 5,1
92,2022013,MA 13,1
93,2022013,MA 49,1
94,2022013,MA 11,1
95,2022013,Vereines Landesfachverbandes Rugby Wien,115
96,2022013,MA 22,1
97,2022013,MA 57,1
98,2022013,MA 7,1
99,2022013,MA 51,64
100,2022013,Unternehmung Wiener Gesundheitsverbund,1
101,2022013,MA 17,1
102,2022013,MA 27,1
103,2022013,Wiener Fachverbänden,11
104,2022013,Österreichischen BSO,4
105,2022013,Österreichischen Rugby Verbandes,4
106,2022014,Stadtrechnungshofes Wien,9
107,2022014,stadt wien,7
