,doc_id,txt
0,2022010,"MA 10 und Katholischer Familienverband der Erzdiözese Wien, Prüfung des Projektes Omadienst; Subventionsprüfung"
1,2022010, KURZFASSUNG
2,2022010,"Der Stadtrechnungshof Wien unterzog die Gebarung des Katholischen Familienverbandes der Erzdiözese Wien, abgekürzt KFVW im Rahmen des Projektes „Oma-Dienst“ in den Jahren 2018 bis 2020 einer Prüfung. Der Katholische Familienverband der Erzdiözese Wien, abgekürzt KFVW erhielt im Betrachtungszeitraum für das Projekt „Oma-Dienst“ jährlich eine Förderung in der Höhe von 19.900,-- EUR von der MA 10 - Kindergärten. "
3,2022010,"Der Stadtrechnungshof Wien würdigte das Angebot des Projektes „Oma-Dienst“, mit dem eine Möglichkeit der erweiterten Kinderbetreuung und Kinderbeaufsichtigung geschaffen wurde, sowie das Engagement der mitwirkenden Personen. Dieses Angebot kam insbesondere jenen Personen zugute, die auch außerhalb der Öffnung von Betreuungseinrichtungen eine Unterstützung bei der Betreuung und Beaufsichtigung ihrer Kinder benötigten. Jedoch empfahl der Stadtrechnungshof Wien dem Katholischen Familienverband der Erzdiözese Wien, abgekürzt KFVW, Überlegungen hinsichtlich der Unterstützung eines erweiterten vergünstigten Angebotes für Familien und Alleinerziehende mit finanziellen Problemen anzustellen."
4,2022010,"Verbesserungspotenziale zeigten sich ferner beim Katholischen Familienverband der Erzdiözese Wien, abgekürzt KFVW insbesondere bei der Erfassung und nachvollziehbaren projektbezogenen Zuordnung der Ausgaben."
5,2022010,Der MA 10 - Kindergärten wurde u.a. die Durchführung einer vertieften Abrechnungsprüfung für die kommende Förderungsperiode sowie die Einbeziehung der Erkenntnisse aus dem gegenständlichen Bericht in künftige Förderungsentscheidungen empfohlen.
6,2022010,"Der Stadtrechnungshof Wien unterzog die Gebarung des Vereines Katholischer Familienverband der Erzdiözese Wien, abgekürzt KFVW, im Rahmen des Projektes „OmaDienst“ in den Jahren 2018 bis 2020 einer stichprobenweisen Prüfung und teilte das Ergebnis seiner Wahrnehmungen nach Abhaltung diesbezüglicher Schlussbesprechungen den geprüften Stellen mit. Die von den geprüften Stellen abgegebenen Stellungnahmen wurden berücksichtigt. Allfällige Rundungsdifferenzen bei der Darstellung von Berechnungen wurden nicht ausgeglichen."
7,2022010,INHALTSVERZEICHNIS
8,2022010,TABELLENVERZEICHNIS
9,2022010,ABKÜRZUNGSVERZEICHNIS
